query,iteration,status,validation,row_count,client_elapsed_s,server_elapsed_s,query_id,error,validation_error,server_version
query_01,1,OK,,4,2.406865832999756,2.176,01c5a819-0817-d9e1-0009-7101578c8213,,,10.23.106 b20260710213651e7744f5c
query_02,1,OK,,100,1.1356156659967382,0.832,01c5a819-0817-d8aa-0009-7101578c7c17,,,10.23.106 b20260710213651e7744f5c
query_03,1,OK,,10,2.4860160000025644,2.211,01c5a819-0817-d8aa-0009-7101578c7dc3,,,10.23.106 b20260710213651e7744f5c
query_04,1,OK,,5,1.4496246659982717,1.197,01c5a819-0817-d8aa-0009-7101578c9193,,,10.23.106 b20260710213651e7744f5c
query_05,1,OK,,5,2.1581264169944916,1.906,01c5a819-0817-d8aa-0009-7101578c952b,,,10.23.106 b20260710213651e7744f5c
query_06,1,OK,,1,0.4882013750029728,0.24,01c5a819-0817-d8aa-0009-7101578c964b,,,10.23.106 b20260710213651e7744f5c
query_07,1,OK,,4,1.9851666659960756,1.732,01c5a81a-0817-d8aa-0009-7101578c9b23,,,10.23.106 b20260710213651e7744f5c
query_08,1,OK,,2,1.9113062910037115,1.665,01c5a81a-0817-d9e1-0009-7101578cb98b,,,10.23.106 b20260710213651e7744f5c
query_09,1,OK,,175,4.667404584004544,4.375,01c5a81a-0817-d8aa-0009-7101578cd24b,,,10.23.106 b20260710213651e7744f5c
query_10,1,OK,,20,3.2230569579987787,2.859,01c5a81b-0817-d8aa-0009-7101578cdb2f,,,10.23.106 b20260710213651e7744f5c
query_11,1,OK,,0,0.9620011250008247,0.694,01c5a81b-0817-d9e1-0009-7101578ce57f,,,10.23.106 b20260710213651e7744f5c
query_12,1,OK,,2,1.9265767499964568,1.672,01c5a81b-0817-d8aa-0009-7101578cf0f7,,,10.23.106 b20260710213651e7744f5c
query_13,1,OK,,30,4.038124957995024,3.767,01c5a81b-0817-d9e1-0009-7101578cea87,,,10.23.106 b20260710213651e7744f5c
query_14,1,OK,,1,0.7061912499993923,0.437,01c5a81b-0817-d9e1-0009-7101578d118f,,,10.23.106 b20260710213651e7744f5c
query_15,1,OK,,1,1.2293682500021532,0.951,01c5a81b-0817-d8aa-0009-7101578cfb5b,,,10.23.106 b20260710213651e7744f5c
query_16,1,OK,,27840,1.984178749997227,1.056,01c5a81c-0817-d8aa-0009-7101578cfe07,,,10.23.106 b20260710213651e7744f5c
query_17,1,OK,,1,1.587720250005077,1.321,01c5a81c-0817-d9e1-0009-7101578d18ff,,,10.23.106 b20260710213651e7744f5c
query_18,1,OK,,100,6.260961790998408,5.973,01c5a81c-0817-d8aa-0009-7101578d3c63,,,10.23.106 b20260710213651e7744f5c
query_19,1,OK,,1,1.5200336249981774,1.118,01c5a81c-0817-d9e1-0009-7101578d45db,,,10.23.106 b20260710213651e7744f5c
query_20,1,OK,,112013,4.114878458000021,1.159,01c5a81d-0817-d9e1-0009-7101578d7113,,,10.23.106 b20260710213651e7744f5c
query_21,1,OK,,100,4.755346999998437,4.457,01c5a81d-0817-d9e1-0009-7101578d7617,,,10.23.106 b20260710213651e7744f5c
query_22,1,OK,,7,1.2853335839972715,0.932,01c5a81e-0817-d8aa-0009-7101578da3ab,,,10.23.106 b20260710213651e7744f5c
